slope,MSI-general
0.0171717171717172,48
0.131986531986532,108
-0.131313131313131,52
0.133670033670034,103
0.0730639730639731,64
0.0582491582491584,117
0.0979797979797981,70
-0.0259259259259258,49
0.209090909090909,70
0.173737373737374,71
0.0814814814814816,70
0.163973063973064,91
0.0902356902356904,81
0.0420875420875423,89
-0.0528619528619526,63
-0.119191919191919,58
-0.0606060606060603,65
0.00976430976430996,89
-0.016161616161616,41
0.0309764309764312,106
0.212121212121212,76
0.00673400673400683,40
0.187542087542088,83
0.0582491582491584,73
0.0666666666666668,78
0.218518518518519,64
0.0101010101010102,69
-0.042087542087542,73
0.00471380471380488,82
0.195959595959596,55
-0.0249158249158248,91
0.122222222222222,82
0.105723905723906,93
0.0195286195286196,45
0.0912457912457913,102
0.0175084175084176,54
0.00134680134680156,104
0.00404040404040412,80
0.0373737373737376,86
0.0400673400673402,78
-0.0148148148148148,68
-0.00370370370370354,59
0.0154882154882156,65
0.134343434343434,79
0.0865319865319867,120
0.0282828282828285,89
0.0319865319865321,76
-0.048148148148148,98
0.102693602693603,61
0.204040404040404,100
0.0292929292929293,55
-0.0572390572390572,51
-0.042087542087542,80
0.080808080808081,104
0.130976430976431,78
-0.133333333333333,86
0.0744107744107745,72
0.148484848484849,78
0.122558922558923,66
0.18047138047138,68
0.0690235690235692,106
0.112121212121212,63
0.139057239057239,73
0.11986531986532,87
-0.0612794612794611,70
0.0114478114478116,66
0.0047138047138049,83
0.113131313131313,73
0.145117845117845,55
0.107070707070707,94
0.0235690235690238,76
0.0131313131313132,78
0.0397306397306398,102
0.0319865319865321,82
0.0942760942760944,67
0.172053872053872,66
-0.0195286195286193,67
0.182491582491583,97
0.145117845117845,70
0.128619528619529,79
-0.0723905723905722,86
-0.0680134680134679,72
-0.0127946127946127,60
-0.096296296296296,56
0.198316498316498,101
0.219191919191919,85
0.164309764309764,85
0.0464646464646467,44
0.114478114478115,91
0.0720538720538722,110
-0.0787878787878785,65
-0.025252525252525,94
0.106397306397307,113
0.139393939393939,91
0.058922558922559,85
0.109090909090909,59
0.136026936026936,49
0.0144781144781146,89
0.150505050505051,96
0.164646464646465,67
0.113468013468014,78
0.0363636363636366,69
0.0515151515151517,74
0.217845117845118,76
-0.152525252525252,57
0.192929292929293,54
0.0979797979797982,85
0.191582491582492,34
0.108754208754209,58
-0.136026936026936,80
-0.0127946127946126,66
0.117845117845118,98
-0.0154882154882153,85
0.0245791245791247,94
0.0363636363636365,48
-0.0781144781144779,43
-0.00538720538720507,71
-0.0215488215488214,47
0.16026936026936,63
0.000336700336700532,43
0.0804713804713807,62
0.192929292929293,67
0.0696969696969699,72
0.0289562289562292,76
0.130639730639731,51
-0.0855218855218854,82
0.0835016835016836,80
0.155555555555556,50
-0.044107744107744,38
