slope_1Hz,slope_2.5Hz,slope_4Hz,MSI-general
0,0.9,0.0500000000000001,54
0.65,-0.0499999999999994,0,58
-0.35,0.500000000000001,-0.449999999999999,109
0.65,1.1,-0.399999999999999,74
7.0216669371534e-16,0.45,0.200000000000001,60
0.0500000000000001,0.55,-1.05,75
0.35,1.45,0.6,106
0.200000000000001,0.6,-0.0999999999999989,34
1.2,1.25,-0.149999999999999,86
0,0.45,-0.399999999999999,77
1.1,0.350000000000001,-0.0999999999999989,73
0.55,-0.45,-0.9,111
0.25,0.849999999999999,-0.449999999999999,50
0.35,0.850000000000001,0.5,86
0.15,0.400000000000001,-0.15,100
-0.0499999999999994,0.15,-0.249999999999999,58
-0.0499999999999994,-0.199999999999998,-0.199999999999999,90
0.7,0.6,0.6,66
0.65,0.350000000000002,-1.15,83
-0.0999999999999996,-0.0499999999999987,-0.4,76
-0.0499999999999994,0.100000000000001,0.15,74
0.5,0.3,-0.299999999999999,80
-0.0499999999999994,1.65,-0.649999999999999,50
0.0500000000000005,0.75,0.100000000000001,73
-0.499999999999999,0.150000000000001,0.500000000000001,95
0.15,-0.65,-0.149999999999999,61
0.1,0.25,0.4,65
0.6,0.3,-0.0499999999999987,83
0.65,0.100000000000001,0.1,63
-0.0500000000000001,0.1,-0.7,70
1.1,-0.0999999999999989,-0.349999999999999,93
0.15,-0.599999999999999,0.300000000000001,84
0.200000000000001,7.0216669371534e-16,-0.449999999999998,106
0.550000000000001,0.750000000000001,-0.0999999999999996,85
0.6,0.750000000000001,-0.349999999999998,86
0.6,0.250000000000001,-0.599999999999999,92
0.5,0.55,0.500000000000001,93
0.7,0.8,-1.25,104
-0.0499999999999994,0.300000000000001,-1.3,71
0.300000000000001,0.500000000000001,0.0500000000000001,70
0.65,0.6,-0.149999999999999,101
0.5,0.15,-0.299999999999999,75
7.0216669371534e-16,0.2,-0.749999999999999,98
0.35,0.65,-0.249999999999999,100
0.250000000000001,0.75,-0.4,64
0.35,0.400000000000001,-0.299999999999999,85
0.65,0.849999999999999,-0.0999999999999989,93
0.600000000000001,0.750000000000001,0,53
